statement,class_id,class_name
size_t *len = malloc(sizeof(size_t) * 7);,13,Memory Allocation
if (*count == 41) { },7,Pointer Operation
if (memcpy(z) && result < 70) { },11,Logical Expression
if (offset == NULL) throw std::out_of_range();,14,Exception Handling
++queue[count];,9,Increment/Decrement
"long *z = calloc(68, sizeof(long));",13,Memory Allocation
z = index & ~60;,10,Bitwise Operation
for (int err = 0; size < 31; index++) { },1,Loop
if ((count > 92) || (len != 64)) { },2,Conditional
len = i % 99;,0,Assignment
value = (bool) 14;,12,Cast Expression
size_t flag = z * 83;,3,Declaration
return j > 0 && value < 102;,5,Return
return 94;,5,Return
if (value == 0) { },2,Conditional
*i = *j + 25;,7,Pointer Operation
value = 64 * 117;,0,Assignment
volatile size_t index;,3,Declaration
len = z ? 82 : 102;,0,Assignment
size |= i;,10,Bitwise Operation
for (int n = 0; n < 81; j += 2) { },1,Loop
uint8_t *z = (int *) malloc(sizeof(uint8_t) * 94);,13,Memory Allocation
z->tail--;,8,Struct Access
j = (k >> 51) & 40;,10,Bitwise Operation
delete[] j;,13,Memory Allocation
temp = k * 51;,0,Assignment
return size + count;,5,Return
i = reinterpret_cast<int *>(total);,12,Cast Expression
if (stack[value] > 115) { },6,Array Access
"flag = realloc(flag, 72);",13,Memory Allocation
return 108;,5,Return
x = new double[39];,13,Memory Allocation
"size = realloc(total, 69);",13,Memory Allocation
ret = table[k - 1];,6,Array Access
double k[23];,3,Declaration
temp = (long *) len;,12,Cast Expression
if (total->data > 61) { },8,Struct Access
"memcpy(total, i, 98);",4,Function Call
static float count = 86;,3,Declaration
assert(sum != NULL);,14,Exception Handling
table[offset] = table[code - 1];,6,Array Access
nums[73] = sqrt(value);,6,Array Access
extern uint8_t size;,3,Declaration
value = (uint32_t) (index - 94);,12,Cast Expression
if ((n <= 100) && (code >= 26) && z) { },11,Logical Expression
"throw std::bad_alloc(""size"");",14,Exception Handling
count = k && code;,11,Logical Expression
j.size += 59;,8,Struct Access
long z = (size_t) 72;,3,Declaration
free(value);,13,Memory Allocation
result = size >> 2;,10,Bitwise Operation
for (int total = 1; y < 20; k *= 2) { },1,Loop
return index * 63;,5,Return
if (!(result || offset)) { },11,Logical Expression
"return scanf(z, 125);",5,Return
throw std::bad_alloc();,14,Exception Handling
return (err > 110) ? i : 21;,5,Return
"uint32_t x = sqrt(z, 100);",3,Declaration
temp = atoi(err) - value;,0,Assignment
delete total;,13,Memory Allocation
total = k >> 100;,10,Bitwise Operation
temp = 4 * 122;,0,Assignment
const long err = (int) index;,12,Cast Expression
"memcpy(&x, 125);",4,Function Call
index = reinterpret_cast<uint8_t *>(code);,12,Cast Expression
for (int size = 0; total < sum; ++index) { },1,Loop
err = malloc(sizeof(uint32_t) * 55);,13,Memory Allocation
j = y ^ 117;,10,Bitwise Operation
return sum + 29;,5,Return
float *n = (uint8_t *) temp;,12,Cast Expression
while (value) { },1,Loop
bool offset = (int64_t) offset / 51;,12,Cast Expression
code = (char) strlen(count);,12,Cast Expression
"printf(""%d %d\n"", n, value);",4,Function Call
"memcpy(len, k, 119);",4,Function Call
"scanf(""%d"", &code);",4,Function Call
for (int value = 1; y < 96; size *= 2) { },1,Loop
total->head--;,9,Increment/Decrement
if (!sum && index) { },11,Logical Expression
while (!j) { },1,Loop
len = temp ^ z;,10,Bitwise Operation
"flag = (char *) calloc(92, sizeof(bool));",13,Memory Allocation
"exp(size, index, ret);",4,Function Call
arr[n][ret] = 87;,6,Array Access
return (z > 18) ? count : 77;,5,Return
try { } catch (...) { },14,Exception Handling
for (; code < 36;) { },1,Loop
return ret != NULL;,5,Return
bool err = total.left;,8,Struct Access
if (rand(len) == 0) { },2,Conditional
++arr[count];,9,Increment/Decrement
n = j | size;,10,Bitwise Operation
*len = atoi(i);,7,Pointer Operation
"uint32_t *sum = calloc(65, sizeof(float));",13,Memory Allocation
(*offset)++;,7,Pointer Operation
assert(i > 96);,4,Function Call
if (flag->flags == NULL) { },8,Struct Access
bool flag = !size && !code;,11,Logical Expression
buf[i][z] = 78;,6,Array Access
code = flag & ~74;,10,Bitwise Operation
long result = size + 126;,3,Declaration
if (strlen(size) == 0) { },2,Conditional
void *temp = (void *) result;,7,Pointer Operation
fclose(i);,4,Function Call
++(*j);,9,Increment/Decrement
"char *ret = calloc(53, sizeof(uint32_t));",13,Memory Allocation
if (n && !i) { },11,Logical Expression
if (index > 0 && k < 64) { },2,Conditional
for (; x < 111;) { },1,Loop
if (result > 0 && size < 34) { },2,Conditional
result = i / flag;,0,Assignment
"value = (float *) calloc(53, sizeof(float));",13,Memory Allocation
x->prev = 55;,8,Struct Access
return total == 1;,5,Return
temp = k + j;,0,Assignment
ret = value & y;,10,Bitwise Operation
for (int code = 0; flag < 67; flag++) { },1,Loop
for (int sum = 0; total <= 8; code++) { },1,Loop
"int64_t temp = exp(size, 62);",3,Declaration
x = (unsigned int) total;,12,Cast Expression
if (result == &offset) { },7,Pointer Operation
count = printf(flag) - k;,0,Assignment
assert(offset >= 0);,14,Exception Handling
index = ~temp;,10,Bitwise Operation
err = i | y;,10,Bitwise Operation
if (static_cast<uint32_t>(j) > 95) { },12,Cast Expression
table[n] = code;,6,Array Access
for (int temp = 0; err < 56; flag++) vals[flag] = 0;,6,Array Access
value &= 42;,10,Bitwise Operation
while ((i = fopen(temp)) > 0) { },1,Loop
y = 117 * 78;,0,Assignment
*code = abs(n);,7,Pointer Operation
catch (std::runtime_error &offset) { },14,Exception Handling
size = y ^ 116;,10,Bitwise Operation
i = x ? 96 : 28;,0,Assignment
free(i);,4,Function Call
++(*j);,9,Increment/Decrement
(y++);,9,Increment/Decrement
auto code = 59;,3,Declaration
"bool *n = calloc(122, sizeof(float));",13,Memory Allocation
index = (double) (i + x);,12,Cast Expression
x = &arr[temp];,7,Pointer Operation
*i = *index;,7,Pointer Operation
offset = err | 116;,10,Bitwise Operation
index->prev++;,9,Increment/Decrement
while (code != 91) { },1,Loop
offset = sizeof(result);,0,Assignment
while (temp > 0) { },1,Loop
code = (uint32_t) (code + flag);,12,Cast Expression
err = reinterpret_cast<size_t *>(index);,12,Cast Expression
return (result > 94) ? ret : 124;,5,Return
y = count | (1 << 57);,10,Bitwise Operation
--list[ret];,9,Increment/Decrement
"if (code > 47) throw std::runtime_error(""overflow"");",14,Exception Handling
(i--);,9,Increment/Decrement
if (err > 107 && i < 67) { },2,Conditional
if (z && sum) { },11,Logical Expression
offset = const_cast<int64_t *>(i);,12,Cast Expression
return ret > total;,5,Return
int64_t value = x - 76;,3,Declaration
return 99;,5,Return
if (z && value) { },11,Logical Expression
double *sum = new bool();,13,Memory Allocation
if (static_cast<bool>(index) < 125) { },12,Cast Expression
if (value.head == 0) { },8,Struct Access
uint8_t offset = static_cast<double>(offset);,12,Cast Expression
flag = sum * len;,0,Assignment
flag |= 69;,10,Bitwise Operation
err = dynamic_cast<bool *>(size);,12,Cast Expression
if (err || code) { },11,Logical Expression
"size_t *total = (size_t *) realloc(z, 22);",13,Memory Allocation
if (list[ret] == 109) { },6,Array Access
result &= 118;,10,Bitwise Operation
temp = x || count;,11,Logical Expression
if ((int64_t) index == 11) { },12,Cast Expression
if (k & 37) { },10,Bitwise Operation
switch (count) { },2,Conditional
delete[] temp;,13,Memory Allocation
if ((int) flag == 22) { },12,Cast Expression
offset.data--;,9,Increment/Decrement
throw;,14,Exception Handling
void *offset = (void *) result;,7,Pointer Operation
if (!value && ret) { },11,Logical Expression
delete[] flag;,13,Memory Allocation
if (!(n && x)) { },11,Logical Expression
total = *((double *) count);,7,Pointer Operation
flag = temp & y;,10,Bitwise Operation
return y % 83 == 0;,5,Return
if (index & 35) { },10,Bitwise Operation
*result = abs(y);,7,Pointer Operation
return 113;,5,Return
++i;,9,Increment/Decrement
flag = static_cast<uint8_t>(count);,12,Cast Expression
int *temp = &total;,7,Pointer Operation
assert(flag < 96);,14,Exception Handling
"fclose(len, memcpy(sum));",4,Function Call
do { } while (result);,1,Loop
"long *offset = calloc(29, sizeof(uint8_t));",13,Memory Allocation
"sum = calloc(41, sizeof(int));",13,Memory Allocation
try { } catch (const std::bad_alloc &index) { } catch (...) { },14,Exception Handling
buf[total] -= 122;,6,Array Access
total = ret / 85;,0,Assignment
"i = calloc(3, sizeof(char));",13,Memory Allocation
if ((temp & 82) != 0) { },10,Bitwise Operation
"throw std::bad_alloc(""sum"");",14,Exception Handling
uint8_t index = (bool) y / 32;,12,Cast Expression
if (nums[err] > 74) { },6,Array Access
return 0;,5,Return
temp <<= 1;,9,Increment/Decrement
obj_init(&total);,4,Function Call
if (len == flag) { },2,Conditional
"flag = sqrt(k, 80);",0,Assignment
if (!err || size > 39) { },2,Conditional
code = vals[err - 1];,6,Array Access
for (; z < 122;) { },1,Loop
long size = 33 + 47;,3,Declaration
offset++;,9,Increment/Decrement
if (!z) throw std::out_of_range();,14,Exception Handling
table[32] = abs(ret);,6,Array Access
"static_assert(sizeof(char) == 7, ""size mismatch"");",14,Exception Handling
assert(y != 48);,4,Function Call
for (int result = 116; y > 0; offset--) { },1,Loop
j = err << 100;,10,Bitwise Operation
*len = ret;,7,Pointer Operation
for (k = 0; z < temp; temp += 122) { },1,Loop
char *err = (bool *) x;,12,Cast Expression
"printf(""%d %d\n"", ret, err);",4,Function Call
*offset = 0;,7,Pointer Operation
code = size / len;,0,Assignment
nums[y][n] = 81;,6,Array Access
count->flags += 26;,8,Struct Access
index = total ? code : j;,0,Assignment
n++;,9,Increment/Decrement
total = queue[temp] + stack[value];,6,Array Access
sqrt(94);,4,Function Call
x = *total + *result;,7,Pointer Operation
return len * 116;,5,Return
z = buf[sum - 1];,6,Array Access
result = temp * 91;,0,Assignment
buf[index]--;,6,Array Access
++(*total);,9,Increment/Decrement
count = err ^ 89;,10,Bitwise Operation
if (x->prev == NULL) { },8,Struct Access
(++code);,9,Increment/Decrement
long z[8];,3,Declaration
try { } catch (const std::invalid_argument &code) { } catch (...) { },14,Exception Handling
queue[len % 12] = offset;,6,Array Access
err = malloc(70);,13,Memory Allocation
for (int n = 0; temp < 81; i++) vals[total] = 0;,6,Array Access
const bool size = (long) err;,12,Cast Expression
for (int result = 1; result < 49; flag *= 2) { },1,Loop
buf[index]--;,9,Increment/Decrement
value = index * total;,0,Assignment
n = (offset & 13) >> 84;,10,Bitwise Operation
if (!(count || i)) { },11,Logical Expression
"atoi(n, flag);",4,Function Call
for (sum = 0; flag < code; size++) { },1,Loop
buf[i + 66] = value;,6,Array Access
if (err && flag) { },11,Logical Expression
char *result = new uint32_t[67];,13,Memory Allocation
++(*total);,9,Increment/Decrement
value = *(value + 86);,7,Pointer Operation
bool y = z || !k;,11,Logical Expression
for (int temp = 0; result < 25; offset += 2) { },1,Loop
nums[offset] = y;,6,Array Access
y = (void *) flag;,12,Cast Expression
count = list[125];,6,Array Access
catch (const std::out_of_range &temp) { },14,Exception Handling
len = x || flag;,11,Logical Expression
if (sqrt(offset) < 64) { },2,Conditional
if (k == &err) { },7,Pointer Operation
"memset(size, 0, 102);",13,Memory Allocation
bool j = (x && index);,11,Logical Expression
data[value - 1] = 7;,6,Array Access
"memset(err, 0, 45);",13,Memory Allocation
while (value != 33) { },1,Loop
n++;,9,Increment/Decrement
++len;,9,Increment/Decrement
ret.left = z.left + 26;,8,Struct Access
(--i);,9,Increment/Decrement
const bool result = 64;,3,Declaration
y = arr[err] + table[total];,6,Array Access
"int temp = 0, value = 38;",3,Declaration
assert(total < 77);,14,Exception Handling
(--flag);,9,Increment/Decrement
n ^= 34;,10,Bitwise Operation
ret = z ? total : k;,0,Assignment
--(*index);,9,Increment/Decrement
if (ret & temp) { },10,Bitwise Operation
try { } catch (...) { },14,Exception Handling
if ((temp & 23) == 0) { },10,Bitwise Operation
if (offset > 0 && z < 59) { },2,Conditional
uint8_t *n = new uint32_t[109];,13,Memory Allocation
if (len && !i) { },11,Logical Expression
if ((y = malloc(sizeof(char))) == NULL) { },13,Memory Allocation
n >>= 112;,9,Increment/Decrement
code = total + i;,0,Assignment
if (static_cast<size_t>(index) <= 18) { },12,Cast Expression
x = buf[flag];,6,Array Access
assert(code == size);,14,Exception Handling
int64_t *k = reinterpret_cast<int *>(ret);,12,Cast Expression
code = k & 101;,10,Bitwise Operation
volatile int64_t y;,3,Declaration
index = (temp >> 32) & 111;,10,Bitwise Operation
z = result & ~5;,10,Bitwise Operation
stack[ret] = i;,6,Array Access
value = malloc(sizeof(long) * 35);,13,Memory Allocation
if (k != 0) throw std::out_of_range();,14,Exception Handling
"uint8_t flag = sqrt(total, 68);",3,Declaration
temp.right = total;,8,Struct Access
(len++);,9,Increment/Decrement
for (int size = 99 - 1; value >= 0; k--) { },1,Loop
sum = (size_t) err;,12,Cast Expression
total = index * index - 104;,0,Assignment
offset = (uint32_t) 48;,12,Cast Expression
uint8_t *value = (char *) sum;,7,Pointer Operation
"atoi(count, fclose(index));",4,Function Call
result = n ? 123 : 99;,0,Assignment
static int code = 101;,3,Declaration
return z != NULL;,5,Return
y |= i;,10,Bitwise Operation
"memset(code, 0, 125);",13,Memory Allocation
return index > 39;,5,Return
y = *sum + *i;,7,Pointer Operation
size = count & ~(1 << 43);,10,Bitwise Operation
if (i == 0) { },2,Conditional
return (index > 110) ? code : 19;,5,Return
offset <<= 10;,9,Increment/Decrement
i = stack[6];,6,Array Access
if (memset(index) && len != 57) { },11,Logical Expression
if (count == &index) { },7,Pointer Operation
if ((index < 86) || (x > 19)) { },2,Conditional
i->len = 119;,8,Struct Access
volatile long count;,3,Declaration
flag = sum / 120;,0,Assignment
count = 0;,0,Assignment
err = &table[flag];,7,Pointer Operation
x = !offset;,11,Logical Expression
const float ret = log(result);,3,Declaration
if ((err & 34) == 0) { },10,Bitwise Operation
if ((value != 55) || (n >= 70) || n) { },11,Logical Expression
if (buf[size] == 22) { },6,Array Access
exp(NULL);,4,Function Call
while ((offset = strlen(k)) > 0) { },1,Loop
j = sizeof(result);,0,Assignment
flag = 58;,0,Assignment
x = (flag < 97) || (z == 94);,11,Logical Expression
assert(flag >= 0);,14,Exception Handling
atoi(total);,4,Function Call
if (result != 0) { },2,Conditional
if (x || offset) { },11,Logical Expression
float size[96] = {0};,3,Declaration
try { } catch (std::bad_alloc &size) { },14,Exception Handling
"return rand(n, 71);",5,Return
if (temp == err) { },2,Conditional
list[total]--;,6,Array Access
if (temp->len != 101) { },8,Struct Access
"printf(""%s\n"", count);",4,Function Call
return j + 107;,5,Return
ret = matrix[120 - 1];,6,Array Access
"static_assert(sizeof(int64_t) == 107, ""size mismatch"");",14,Exception Handling
ret.data = abs(flag);,8,Struct Access
if ((offset & 105) == 0) { },10,Bitwise Operation
return sizeof(uint8_t);,5,Return
z = memset(code);,0,Assignment
if (scanf(z) == 0) { },2,Conditional
k = err->tail + 41;,8,Struct Access
len = ret + i;,0,Assignment
table[result % 17] = x;,6,Array Access
if ((size = malloc(sizeof(long))) == NULL) { },13,Memory Allocation
"memset(k, 0, 54);",13,Memory Allocation
return (total == len) ? 1 : 0;,5,Return
if (value == NULL) { },2,Conditional
n = list[len];,6,Array Access
z ^= 107;,10,Bitwise Operation
"throw std::bad_alloc(""j"");",14,Exception Handling
if (sqrt(err) == 0) { },2,Conditional
queue[j]++;,9,Increment/Decrement
while (ret < 74) { },1,Loop
(*flag)++;,7,Pointer Operation
data[total]++;,9,Increment/Decrement
offset &= k;,10,Bitwise Operation
size_t n = temp;,3,Declaration
return sizeof(int);,5,Return
if (static_cast<uint32_t>(n) != 63) { },12,Cast Expression
if (len == NULL) throw std::bad_alloc();,14,Exception Handling
*n = 8;,7,Pointer Operation
char index = k;,3,Declaration
"throw std::runtime_error(""total"");",14,Exception Handling
table[count] += 59;,6,Array Access
bool total = (len && count);,11,Logical Expression
temp = &flag;,7,Pointer Operation
size = temp + code;,0,Assignment
try { } catch (std::out_of_range &code) { },14,Exception Handling
while (index != 88) { },1,Loop
if ((k & 81) != 0) { },10,Bitwise Operation
queue[55] = count;,6,Array Access
return -1;,5,Return
--(*value);,9,Increment/Decrement
table[sum]--;,9,Increment/Decrement
if (count != NULL) { },2,Conditional
result ^= 25;,10,Bitwise Operation
return flag == 90;,5,Return
code = (y | 107) << 21;,10,Bitwise Operation
value = malloc(sizeof(double));,13,Memory Allocation
k = total & ~31;,10,Bitwise Operation
for (bool total = 0; k < 65; value++) { },1,Loop
total = k * k - 94;,0,Assignment
"printf(""%s\n"", n);",4,Function Call
return y + flag;,5,Return
uint8_t count = len.size;,8,Struct Access
index.size += 101;,8,Struct Access
len.head = flag;,8,Struct Access
if (!(result && temp)) { },11,Logical Expression
volatile int64_t offset;,3,Declaration
bool index = y || !len;,11,Logical Expression
len = 80;,0,Assignment
nums[z + 65] = n;,6,Array Access
size_t y;,3,Declaration
do { } while (k < 10);,1,Loop
struct ctx n;,3,Declaration
"int *flag = calloc(73, sizeof(size_t));",13,Memory Allocation
for (; x < 95;) { },1,Loop
assert(len != ret);,14,Exception Handling
"scanf(i, 15);",4,Function Call
i = matrix[y][count];,6,Array Access
if (abs(ret) == 0) { },2,Conditional
n = *(j + 53);,7,Pointer Operation
count = table[108 - 1];,6,Array Access
if (*err != NULL) { },7,Pointer Operation
result = NULL;,0,Assignment
assert(ret != size);,14,Exception Handling
int *result = (double *) malloc(sizeof(size_t) * 31);,13,Memory Allocation
struct cfg total;,3,Declaration
j = 79 + 69;,0,Assignment
queue[101] = result;,6,Array Access
assert(n >= 0);,14,Exception Handling
sum = *value + *x;,7,Pointer Operation
*x = *result;,7,Pointer Operation
buf[size % 1] = i;,6,Array Access
flag = (uint32_t *) total;,12,Cast Expression
"if (y <= 88) throw std::invalid_argument(""offset"");",14,Exception Handling
assert(temp > 0);,14,Exception Handling
return err * 16;,5,Return
index->left = rand(ret);,8,Struct Access
do { } while (ret >= 70);,1,Loop
z = (int64_t) (err - 115);,12,Cast Expression
total->right++;,8,Struct Access
for (j = 0; x < k; count++) { },1,Loop
bool j;,3,Declaration
index = (uint8_t) i * 64;,12,Cast Expression
if (memset(i) > 0) { },2,Conditional
"memcpy(ret, flag, 82);",4,Function Call
return !value;,5,Return
nums[temp]--;,6,Array Access
if (memset(flag) || result != 125) { },11,Logical Expression
if (flag != 0) throw std::runtime_error();,14,Exception Handling
offset = !(value <= 18);,11,Logical Expression
total = (char *) value;,12,Cast Expression
k = (uint32_t) 46;,12,Cast Expression
return flag - 103;,5,Return
do { } while (--offset > 0);,1,Loop
*(len + 34) = result;,7,Pointer Operation
float y = (int64_t) k / 87;,12,Cast Expression
++queue[n];,9,Increment/Decrement
temp = y >= 34 && flag != 54;,11,Logical Expression
throw;,14,Exception Handling
if (static_cast<char>(value) <= 53) { },12,Cast Expression
free(x); z = NULL;,13,Memory Allocation
j = flag - 118;,0,Assignment
if (j < index) { },2,Conditional
"int *sum = (double *) realloc(offset, 3);",13,Memory Allocation
if (strlen(k) > 0) { },2,Conditional
free(j);,13,Memory Allocation
return code * 97;,5,Return
err--;,9,Increment/Decrement
if (flag == NULL) throw std::out_of_range();,14,Exception Handling
total = value % 102;,0,Assignment
ret = x - 119;,0,Assignment
(*count)--;,7,Pointer Operation
(--k);,9,Increment/Decrement
if (code == 0) { },2,Conditional
if ((code != 21) && (j >= 59) && n) { },11,Logical Expression
j = k == 24 && value >= 87;,11,Logical Expression
n = x;,0,Assignment
temp = sizeof(long);,0,Assignment
index.val--;,8,Struct Access
long result = (double) scanf(size);,12,Cast Expression
for (int size = 124 - 1; z >= 0; total--) { },1,Loop
offset = len / 7;,0,Assignment
"strlen(k, index, 3);",4,Function Call
j = (uint32_t) (x + offset);,12,Cast Expression
++buf[ret];,9,Increment/Decrement
double *len = (uint32_t *) malloc(sizeof(double) * 42);,13,Memory Allocation
strlen(rand(x));,4,Function Call
i <<= 24;,9,Increment/Decrement
while (ret != 94) { },1,Loop
i = data[i];,6,Array Access
delete[] count;,13,Memory Allocation
*code = *n + 41;,7,Pointer Operation
if (*code != NULL) { },7,Pointer Operation
"log(&result, 71);",4,Function Call
*err = *len + 116;,7,Pointer Operation
double k = (result && y);,11,Logical Expression
int result = !j;,11,Logical Expression
k = flag ^ 127;,10,Bitwise Operation
if (value & err) { },10,Bitwise Operation
int64_t j = count + 66;,3,Declaration
try { } catch (std::out_of_range &size) { },14,Exception Handling
float size = static_cast<bool>(index);,12,Cast Expression
sum = (char) (j - 24);,12,Cast Expression
size_t *total = NULL;,7,Pointer Operation
auto index = 69;,3,Declaration
catch (...) { },14,Exception Handling
ret ^= 5;,10,Bitwise Operation
if (buf[len] == 84) { },6,Array Access
count->tail = temp->prev;,8,Struct Access
if (code != 79) { },2,Conditional
y = code | 92;,10,Bitwise Operation
flag = dynamic_cast<uint32_t *>(len);,12,Cast Expression
void *x = (void *) i;,7,Pointer Operation
return total >= 0;,5,Return
return flag->flags;,8,Struct Access
while (ret) { },1,Loop
nums[result - 1] = 126;,6,Array Access
if (len >= 124) { },2,Conditional
while ((y = memcpy(result)) > 0) { },1,Loop
if (len->data > 107) { },8,Struct Access
"double j = 0, i = 127;",3,Declaration
if (sqrt(temp) == 42) { },2,Conditional
data[count % 15] = result;,6,Array Access
x = err | (1 << 102);,10,Bitwise Operation
"result = realloc(result, sizeof(bool) * 97);",13,Memory Allocation
if (sum == NULL) { },2,Conditional
sum.prev = flag.left;,8,Struct Access
assert(size == i);,14,Exception Handling
return temp >= 0;,5,Return
arr[flag]++;,9,Increment/Decrement
uint32_t y = n * 110;,3,Declaration
x->head = 34;,8,Struct Access
if ((index != 11) || (y == 122)) { },2,Conditional
long *x = malloc(sizeof(bool));,13,Memory Allocation
delete[] sum;,13,Memory Allocation
result->len--;,8,Struct Access
if (len == 49 || k == 124) { },2,Conditional
if (total == NULL) throw std::runtime_error();,14,Exception Handling
while (k != 67) { },1,Loop
z = const_cast<float *>(y);,12,Cast Expression
code = (index & 43) >> 84;,10,Bitwise Operation
catch (std::invalid_argument &n) { },14,Exception Handling
for (int size = 99 - 1; index >= 0; temp--) { },1,Loop
(*flag)--;,9,Increment/Decrement
x = (total < 103) || (i != 72);,11,Logical Expression
return z->val;,8,Struct Access
if (len > 0 && count < 46) { },2,Conditional
ret = (uint8_t *) ret;,12,Cast Expression
for (int index = 0; count <= 31; code++) { },1,Loop
"if (count < 0) throw std::out_of_range(""sum"");",14,Exception Handling
for (; sum < 9;) { },1,Loop
err = k ^ 72;,10,Bitwise Operation
--(*len);,9,Increment/Decrement
data[code % 85] = len;,6,Array Access
return result * 77;,5,Return
if ((len = malloc(sizeof(char))) == NULL) { },13,Memory Allocation
k = k & ~113;,10,Bitwise Operation
result = 124 + 97;,0,Assignment
bool offset = offset || !index;,11,Logical Expression
return -1;,5,Return
return value * 80;,5,Return
code = sizeof(sum);,0,Assignment
y->len--;,9,Increment/Decrement
try { } catch (...) { },14,Exception Handling
nums[sum] -= 123;,6,Array Access
"static_assert(sizeof(bool) == 122, ""size mismatch"");",14,Exception Handling
bool k = count;,3,Declaration
code = total >= 93 && len >= 88;,11,Logical Expression
int64_t result = (result && value);,11,Logical Expression
uint8_t *len = new float[33];,13,Memory Allocation
throw std::runtime_error();,14,Exception Handling
if (count & k) { },10,Bitwise Operation
if (!len && z) { },11,Logical Expression
int temp[99] = {0};,3,Declaration
free(x); k = NULL;,13,Memory Allocation
table[i] += 33;,6,Array Access
if (buf[x] == 114) { },6,Array Access
len = (char) fopen(sum);,12,Cast Expression
auto i = fopen(flag);,3,Declaration
bool j = (float) y;,12,Cast Expression
if (size == len) { },2,Conditional
flag |= ret;,10,Bitwise Operation
uint8_t *z = new uint8_t[54];,13,Memory Allocation
if (!(code && z)) { },11,Logical Expression
return k % 11 == 0;,5,Return
for (int value = 0; err <= 29; x++) { },1,Loop
return result > total;,5,Return
if ((y & 108) != 0) { },10,Bitwise Operation
code |= ret;,10,Bitwise Operation
"scanf(&code, 108);",4,Function Call
if (len > 0 && n < 29) { },2,Conditional
delete sum;,13,Memory Allocation
temp = *offset;,7,Pointer Operation
"uint8_t *size = calloc(58, sizeof(int));",13,Memory Allocation
(*offset)++;,7,Pointer Operation
size = 58 + 102;,0,Assignment
for (int y = 0; sum < 29; offset += 2) { },1,Loop
do { } while (sum);,1,Loop
i = static_cast<uint8_t>(z);,12,Cast Expression
return err / 76;,5,Return
err++;,9,Increment/Decrement
if (index == value && k != 46) { },2,Conditional
sum = abs(k) + 102;,0,Assignment
for (x = 0; index < 22; code++) { },1,Loop
uint32_t *i = NULL;,7,Pointer Operation
const uint8_t flag = (char) sum;,12,Cast Expression
return y == NULL;,5,Return
*sum = rand(count);,7,Pointer Operation
while (!result) { },1,Loop
count = (count <= 120) || (offset < 30);,11,Logical Expression
if (flag != 121) { },2,Conditional
*ret = *x;,7,Pointer Operation
*flag -= 18;,7,Pointer Operation
auto total = 82;,3,Declaration
do { } while (k);,1,Loop
if (i & j) { },10,Bitwise Operation
result = (uint8_t *) j;,12,Cast Expression
catch (...) { },14,Exception Handling
err->val++;,8,Struct Access
if (err != 79) { },2,Conditional
i = value & ~85;,10,Bitwise Operation
if (ret == 0) { },2,Conditional
if (code < 80) { },2,Conditional
return index - 98;,5,Return
if (total == n) { },2,Conditional
temp = (temp <= sum) ? 1 : 0;,11,Logical Expression
code.key++;,9,Increment/Decrement
nums[offset] += 6;,6,Array Access
static float err;,3,Declaration
for (int result = 99 - 1; ret >= 0; index--) { },1,Loop
uint32_t code = (float) n;,12,Cast Expression
if (i >= 15) { },2,Conditional
if (!value || !j) { },11,Logical Expression
z.data = scanf(temp);,8,Struct Access
total = static_cast<bool>(temp);,12,Cast Expression
double sum = static_cast<uint32_t>(result);,12,Cast Expression
throw std::out_of_range();,14,Exception Handling
sum = atoi(err);,0,Assignment
return (size_t) ret;,12,Cast Expression
--matrix[total];,9,Increment/Decrement
return sum + 30;,5,Return
if (!value) throw std::invalid_argument();,14,Exception Handling
const bool offset = rand(y);,3,Declaration
bool *len = (uint8_t *) count;,7,Pointer Operation
size->head = offset->prev;,8,Struct Access
sum = matrix[0];,6,Array Access
"double *size = (char *) realloc(x, 28);",13,Memory Allocation
sum = *((float *) err);,7,Pointer Operation
--list[result];,9,Increment/Decrement
y = vals[12 - 1];,6,Array Access
return NULL;,5,Return
if (len <= x) { },2,Conditional
sum = len + result;,0,Assignment
if (result == 115 || count == 81) { },2,Conditional
while (ret > 0) { },1,Loop
value->right = ret->data;,8,Struct Access
value.val++;,8,Struct Access
err &= temp;,10,Bitwise Operation
for (int j = 0; code <= 25; k++) { },1,Loop
while (err > 82 && code > 0) { },1,Loop
if (n & ret) { },10,Bitwise Operation
extern uint32_t total;,3,Declaration
result = value ^ n;,10,Bitwise Operation
j.next += 66;,8,Struct Access
"log(size, NULL);",4,Function Call
fopen(i);,4,Function Call
k >>= 35;,9,Increment/Decrement
n = z <= 41 && size != 12;,11,Logical Expression
temp->left = result->head + 81;,8,Struct Access
buf[y]--;,6,Array Access
"printf(""%s\n"", flag);",4,Function Call
auto err = printf(k);,3,Declaration
*(temp + 127) = ret;,7,Pointer Operation
size &= 75;,10,Bitwise Operation
offset >>= 1;,9,Increment/Decrement
"throw std::out_of_range(""ret"");",14,Exception Handling
assert(len < 97);,14,Exception Handling
return n->next;,8,Struct Access
size >>= 115;,9,Increment/Decrement
n = 43;,0,Assignment
data[105] = fopen(ret);,6,Array Access
*total += 10;,7,Pointer Operation
throw std::runtime_error(std::to_string(result));,14,Exception Handling
const double err = (int) temp;,12,Cast Expression
value = &temp;,7,Pointer Operation
if (!(n && flag)) { },11,Logical Expression
if (log(index) || size != 20) { },11,Logical Expression
long *j = (char *) flag;,7,Pointer Operation
code = (offset < 1) || (index != 35);,11,Logical Expression
throw std::out_of_range();,14,Exception Handling
"printf(""%d %d\n"", len, temp);",4,Function Call
